Q34472312|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q28658588|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q94460516|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q53429157|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q33289547|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q35657087|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q47114826|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q35522267|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q90879727|P4510|Q114075980|P1932|"BEAT"|S248|Q114078827
Q35158628|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q33807704|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q33514142|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q29346663|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33267532|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33321325|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q33547183|P4510|Q114075953|P1932|"ASSET"|S248|Q114078827
Q96228129|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q33729146|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q59800005|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q96638460|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q34672367|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q98300863|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q42690656|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q35664491|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q34777400|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q36337191|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q97545688|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q97527917|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q33260501|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q64067369|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q36189403|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q34316515|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q93020184|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q91004774|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q91257363|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q101224235|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q96170022|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q58765183|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q64271554|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q55432851|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q30484925|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q33417855|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35084451|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q36410678|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33305138|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q47156547|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34331365|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q100532782|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35044275|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q33446501|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q64104561|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35088965|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35178782|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35076791|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q101570873|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q100502680|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
